Condition,0,30,60,90,120
1,0.0,6.529130428115238,24.52777356320045,28.262707633225915,28.556529042866995
2,0.0,11.35046307682538,26.478964301004815,33.01604258782101,33.11232088893321
3,0.0,17.00844539383063,28.222852719207093,41.67746669324897,45.18214591850012
4,0.0,16.15436376904904,19.5270091670542,28.16840004640052,28.39436795050937
5,0.0,19.502870973821494,25.052546417678634,36.12086086234507,33.729853344196506
6,0.0,21.618110195705253,32.524731372308125,45.696759970722226,48.9261242540035
7,0.0,16.156000499922698,23.812679515292245,34.84955164732402,35.50977002510341
8,0.0,20.12428600640661,30.202456326195225,40.955855142918864,46.20449287895638
9,0.0,29.00999809239494,44.35996587446507,52.45919364648392,51.127635679895775
