Condition,0,30,60,90,120
1,0.0,2.1916207904993774,2.5911363396135636,3.380280541741666,2.777860305595417
2,1.9359746880405563e-16,2.2209127859173234,2.6645626798519064,1.7170350840985649,2.7778493701684916
3,0.0,3.1123129130942653,2.2429959170204676,2.7853315830559384,2.765204378793502
4,0.0,1.9767160639326828,1.8506201515196345,2.2734233599654545,2.1987466394942157
5,0.0,2.5521084278052126,1.9078536678667914,1.9580943119400258,1.6608252532879613
6,0.0,2.6487389574566365,1.6971496559425807,1.6226508828248418,1.8931365777118114
7,0.0,2.9619708766016886,2.8396554621466437,2.6025491747983462,1.5686124030717599
8,0.0,2.4598912943764315,2.514154196403402,2.008676566903554,1.558532559558299
9,0.0,1.8966022767916633,1.4176193629145668,1.6485368713423045,1.8779476207462438
