Condition,0,30,60,90,120
10,0.0,15.284207433386776,22.334633597642682,23.16677653305318,33.76796421587337
11,0.0,12.341438016878548,25.56252477168791,36.03167144893049,36.63709143300928
12,0.0,14.769565239686367,29.206372031247074,37.99785572034313,36.555285898002
13,0.0,13.393155911494459,27.512364256512566,34.917954591902756,33.8061957074434
14,0.0,14.406180695413251,29.72134429735075,39.633330930307295,39.72795873501121
15,0.0,16.38509094592169,31.972783144113603,41.544677760071444,44.04526509679805
16,0.0,19.58920401244415,32.75143124050584,47.43494032110329,47.49267575905326
17,0.0,19.73444509144423,33.12137053956097,40.48915188246285,42.53202013733392
18,0.0,19.365016988475215,34.85116034690536,43.46492740667471,46.24512647913293
