Condition,0,30,60,90,120
10,0.0,3.557298109476496,2.746800006182711,3.1580575187517197,2.1214835588712573
11,0.0,1.5029607963888978,2.433716298826599,1.371671784469735,1.2192426834787087
12,0.0,1.7432559140821335,2.6878465077075595,1.7724774690257474,1.598735405531829
13,0.0,3.963841055560902,1.5949051661633424,1.646485977214295,1.6472623707533667
14,0.0,2.25709432415799,1.8722493515942642,1.8297518073095587,1.9859242732672164
15,0.0,1.9763715648786735,2.375867921508805,2.5022436790433003,1.8538117542285433
16,0.0,1.811942727599304,3.540452479108862,3.4763832389975304,3.5209686393729767
17,2.469476179558401e-16,2.871339195727913,3.112420829410768,2.9264785417610284,3.4209486521768673
18,0.0,2.639103757267095,2.9120346904984102,2.456650812903315,2.438436068643828
