,Condition,Mean Ratio,Standard Deviation
0,1_Repeat,0.8387851082752457,0.027155802591518938
1,1_Repeat_2,0.8086764524576973,0.01835115226381084
2,1_Repeat_3,0.8235162867756998,0.017443506585076086
3,19_Repeat,0.892402612837372,0.015198806815001614
4,19_Repeat_1,0.8802246882656087,0.01340099684830672
5,19_Repeat_2,0.9000915231680112,0.015706775614449053
6,10_Repeat,2.497817578568329,0.05001125741783105
7,10_Repeat_2,2.8109201522604175,0.05636410069352846
8,10_Repeat_3,2.794369304845828,0.06462424011284709
