Condition,0,30,60,90,120
1_Repeat,0,23.47612089,26.4989866,39.68291387,4.388899259
1_Repeat_2,0,13.71948486,19.07939187,29.68172269,25.01943087
1_Repeat_3,0,10.39418219,18.46885834,29.88785786,28.44904218
19_Repeat,0,9.739055416,15.50648049,18.34160024,18.9526881
19_Repeat_1,0,5.999064302,14.01936561,21.34391442,20.57397206
19_Repeat_2,0,10.57852649,15.38361106,23.03377179,19.53840842
10_Repeat,0,15.49270329,15.17481156,23.94483177,33.31267484
10_Repeat_2,0,17.7974346,25.27444123,36.15100038,27.09737304
10_Repeat_3,0,16.61885988,26.5503347,33.93516364,27.9079386
