Condition,0,30,60,90,120
19,0.0,4.523993177981603,2.463738057121698,1.9451724571575668,3.472880932646317
20,2.1658671290793295e-16,3.4325524011016175,2.1938902029535514,2.0974739606178288,2.1713907120054663
21,2.712096104648406e-16,2.594226506224998,1.7976875408066042,2.2839376064791037,1.5215641921253664
22,6.62445539670688e-17,3.242776252283479,1.3542204825094273,1.8953576789653315,1.6194474488371666
23,2.067612439855262e-16,1.1545199993053918,0.9259449220992962,1.5552791253904898,2.0057110154942417
24,2.403477679412506e-16,1.301658596094565,2.674663506984247,1.1927941903110033,1.7818742733031923
25,0.0,1.6627933104611061,1.722241361728295,1.8002043000582346,1.8576273237051066
26,0.0,1.7855037792725401,1.798866699535005,1.6422026826124543,1.606401432650927
27,0.0,1.6000876985759664,1.7606650757670927,1.1336617109648335,1.685944241575232
